Data Size (bytes)       Latency (us)    Comm. Time (us)
0       0.000000        0.000162
32      0.000000        0.001085
64      0.000000        0.001741
96      0.000000        0.001619
128     0.000000        0.001887
160     0.000000        0.001970
192     0.000000        0.001968
224     0.000000        0.002011
256     0.000000        0.002021
288     0.000000        0.002070
320     0.000000        0.002061
352     0.000000        0.002043
384     0.000000        0.002007
416     0.000000        0.002229
448     0.000000        0.002238
480     0.000000        0.002187
512     0.000000        0.002156
