Data Size (bytes)       Latency (us)    Comm. Time (us)
1024    0.000000        0.002542
2048    0.000000        0.003094
3072    0.000000        0.005449
4096    0.953674        0.005825
5120    0.000000        0.006378
6144    0.953674        0.006749
7168    0.000000        0.007197
8192    0.000000        0.007785
9216    0.000000        0.008824
10240   0.000000        0.009347
11264   0.000000        0.009903
12288   0.000000        0.010532
13312   0.000000        0.010707
14336   0.000000        0.011060
15360   0.000000        0.011512
16384   0.000000        0.012074
17408   0.000000        0.012434
18432   0.953674        0.013041
19456   0.000000        0.013451
20480   0.000000        0.013839
21504   0.000000        0.014084
22528   0.000000        0.014412
23552   0.000000        0.014776
24576   0.953674        0.015398
25600   0.000000        0.015748
26624   0.000000        0.016238
27648   0.000000        0.016681
28672   0.000000        0.017229
29696   0.000000        0.017370
30720   0.000000        0.017790
31744   0.000000        0.018215
32768   0.953674        0.019054
33792   0.000000        0.019241
34816   0.000000        0.019720
35840   0.000000        0.020166
36864   0.000000        0.020756
37888   0.000000        0.020845
38912   0.000000        0.021078
39936   0.000000        0.021538
40960   0.000000        0.022294
41984   0.000000        0.022575
43008   0.000000        0.023068
44032   0.000000        0.058056
45056   0.000000        0.058621
46080   0.953674        0.058408
47104   0.953674        0.058649
48128   0.000000        0.059149
49152   0.000000        0.059935
50176   0.000000        0.060080
51200   0.000000        0.060560
52224   0.000000        0.060991
53248   0.000000        0.069147
54272   0.953674        0.072120
55296   0.000000        0.072983
56320   0.000000        0.077746
57344   0.000000        0.078177
58368   0.953674        0.081927
59392   0.000000        0.086419
60416   0.000000        0.086746
61440   0.000000        0.091865
62464   0.953674        0.095951
63488   0.953674        0.095331
64512   0.953674        0.100140
65536   0.953674        0.101197
66560   0.953674        0.072895
67584   0.000000        0.077392
68608   0.000000        0.078134
69632   0.953674        0.083591
70656   0.953674        0.086093
71680   0.000000        0.087975
72704   0.000000        0.095872
73728   0.000000        0.097409
74752   0.000000        0.100632
75776   0.000000        0.104970
76800   0.000000        0.104974
77824   0.000000        0.110249
78848   0.000000        0.111561
79872   0.953674        0.114301
80896   0.953674        0.117651
81920   0.000000        0.119559
82944   0.000000        0.122585
83968   0.000000        0.126246
84992   0.000000        0.127484
86016   0.953674        0.136349
87040   0.000000        0.134487
88064   0.953674        0.142714
89088   0.953674        0.145007
90112   0.953674        0.142272
91136   0.000000        0.145024
92160   0.953674        0.149479
93184   0.000000        0.149573
94208   0.000000        0.156834
95232   0.000000        0.161577
96256   0.000000        0.167431
97280   0.000000        0.172791
98304   0.000000        0.168847
99328   0.953674        0.170853
100352  0.000000        0.175540
101376  0.000000        0.175594
102400  0.953674        0.182011
103424  0.000000        0.182555
104448  0.000000        0.184786
105472  0.000000        0.188753
106496  0.953674        0.191166
107520  0.000000        0.192362
108544  0.953674        0.197244
109568  0.000000        0.197369
110592  0.000000        0.202798
111616  0.953674        0.205020
112640  0.953674        0.207495
113664  0.000000        0.212636
114688  1.192093        0.215446
115712  0.953674        0.216426
116736  0.953674        0.221142
117760  0.000000        0.221877
118784  0.953674        0.229518
119808  0.000000        0.227489
120832  0.953674        0.322813
121856  0.000000        0.332557
122880  0.000000        0.345644
123904  1.192093        0.338717
124928  0.953674        0.341126
125952  0.953674        0.349600
126976  0.953674        0.358993
128000  0.000000        0.355777
